,comment,label,start,end
14,歌詞が心に直接届いて、想いも伝わるし、歌上手すぎるし最近嫌なことばかりだったけど本当に元気出ました。ありがとう神曲だね大好き😢😢😢,動画に関するコメント,0,49
15,ジャニーズ全く興味ない男だけど、この歌ハマりすぎて何回もリピしてる笑,"動画に関するコメント,アーティストに関するコメント","16,0","30,12"
16,この曲聴いて衝撃を受けました！みんな楽しそうに歌っている姿めっちゃいいなって思いました！自分男子なんですけど推してもいいですか？,動画に関するコメント,0,64
17,他界隈推してるんですけどこのMV最高すぎて見たら止まらなくなってしまいずっと見てます、、推してもいいでしょうか…,動画に関するコメント,0,42
18,ずっとK-POPペンだったんですがこういう王道キラキラ可愛いアイドルいないので一目で落ちてしてしまいました…ピンク似合いすぎでは？？,動画に関するコメント,0,66
19,V6ファンです。岡田くんと西畑くんがCMに一緒に出ててそれからちょっと興味持ちました！半分沼ってます笑,アーティストに関するコメント,8,43
20,1:28ここの大橋くんパート好きすぎる😭歌はめちゃくちゃ上手いのに映像ではわちゃわちゃして可愛いっていうギャップ最高です…,"動画に関するコメント,アーティストに関するコメント","4,20","19,48"
21,何気なくみたアマプラのやつからハマってしまいました。アイドルにはまったことなかったけどこれから応援させてください！！！！,アーティストに関するコメント,0,60
22,福本莉子ちゃんが好きで消えた初恋を見てたらこの曲が頭から離れなくなりましたずっと乃木坂や日向坂の女性アイドルに夢中だったのにジャニーズに片足突っ込みそうでこわい,アーティストに関するコメント,0,80
23,他担だけどめっちゃ初心LOVE聴きに来てます😳本当に良い曲ですよね☺️デビューまで後もう少しですね😊ちなみになにわ男子の中だったらはっすん推しです💚,"動画に関するコメント,アーティストに関するコメント","0,34","34,73"
24,なんでフルがあるんですか？まだデビュー日になってないのに,動画に関するコメント,0,28
25,消されない事を祈る。🙏🙏🙏,動画に関するコメント,0,13
26,なにわ男子さんのこと全然詳しくないのに、NANIWA'n WAYが神曲&神MVすぎて、最初はデビューシングル1枚だけ予約してたけどこの曲聴いた瞬間全形態予約してしまった……！！！！！これは完全に沼です先輩なにふぁむさんたちよろしくお願いします😇,動画に関するコメント,20,39
27,なにわ男子には嵐やV6みたいに最後まで誰一人抜けないでずーっと仲良しなグループでいてほしいな。,アーティストに関するコメント,0,47
28,母ちゃんが厳しくていつも1形態しかCDを買ってはいけないという決まりがありました…だから今回も1形態だけ選んだんですが、なんで1形態しか買わないの?!5形態買いなさい!!と怒られました(笑)母ちゃん完全に沼りましたねw,アーティストに関するコメント,1,109
29,ジャニーズとか絶対沼らんと思ってたらなにわ男子には沼りましたw これからも推していきます(*´꒳`*),アーティストに関するコメント,0,51
30,消えた初恋を見て道枝くんを知り、なにわ男子を好きになりました。人生で初めてジャニーズにハマって、それがJr時代から長かったグループだとは思わず色んな部分を含めてもっともっと早くからなにわ男子に出会えていたらと後悔しつつも素敵なmvや動画に出会えて幸せです！ジャニーズを追うのが始めててまだファンの足元にも及ばないけど、なにわ男子の活躍に期待し応援していきます！デビュー本当におめでとうございます🎉,アーティストに関するコメント,0,198
31,はまりたての私にとって自己紹介のMVがありがたすぎる………曲も振り付けも天才的にかわいいし、本当に出会えてよかった,動画に関するコメント,0,57
32,なにわ男子売れそうだなぁ,アーティストに関するコメント,0,9
33,(NEWS担ですが…コメントします…)おすすめに出てきて、初めて聞いたけどめちゃくちゃフレッシュだし、楽しい曲ですね！！なにより、なにわ男子のいい所って、キラキラしてる所が良いですね！Theアイドルって感じです！NEWSの次にひっそりと推します☆*。,"動画に関するコメント,アーティストに関するコメント","29,60","57,122"
34,初心LOVEの長尾謙杜くんにとてつもなく惹かれて一気になにふぁむの道を突き進んだ新参者です。男ですが、よろしくおねがいします🤲,アーティストに関するコメント,0,63
35,ジャニーズの伝統を後世に伝えるグループなんやねなんかめちゃくちゃ腑に落ちた,アーティストに関するコメント,0,37
36,「注目」の一つとして、これまで10年間のMVで用いられたセット・美術装飾品・キャスト・振り付けの一部などが、,動画に関するコメント,0,54
37,KAT-TUNの東京ドーム10DAYS公演からずっとKis-My-Ft2ヲタなんですが、当時中1だったオレがもう25歳のオッサンです。デビューしてから10年間いろいろありましたがキスマイを好きになってよかったと心の底から思います。横尾二階堂のキスマイとしてデビューできない疑惑。デビュー前の震災。からのデビュー日延期。デビューしても扱いが悪かった舞祭組4人。大人の事情でSMAPと山下智久としか共演できない。扱いが悪かった4人に中居正広からの救いの手。5周年近くに大人の事情でプロデューサーの変更。恩師、中居正広の退所。そして、10周年目前に新型コロナウイルス感染症の流行。決して順風満帆ではなかったこの10年。だけどもオレが思うのは最近メンバー脱退や事務所退所が多い事務所ですがこの10年間メンバーが誰ひとり欠けることなくグループ活動を続けたことがすごいことだしなおかつ日々新しいことにチャレンジしてる姿には脱帽です。ありがとうキスマイ。そしてこれからもよろしくおねがいします。,"アーティストに関するコメント,アーティストに関するコメント","0,159","139,410"
38,嵐の活動休止が宣言されてから、毎日虚無で本当に言葉通り生きるので精一杯だった私に、再び音楽がそばにある幸せを感じさせてくれたのがKis-My-Ft2の皆さんです。ありがとう。もっと早く知りたかったと思うと同時に今出会えてよかったとも思います。30代というのは若さもありつつ色気も出てきて一気に幅が広がる年代です。これからも素敵に歳を重ねていく皆さんを応援させてください。,アーティストに関するコメント,0,184
39,オリンピックの開会式見て、絶対にこの人たちを国立に連れていこう、そう心に誓いました。,アーティストに関するコメント,0,42
40,絶対に7人を国立競技場のステージに立たせる。絶対に。,アーティストに関するコメント,0,25
41,このグループは絶対にトップに行くグループだよ。,アーティストに関するコメント,0,23
42,今日体育祭練習があって今年の開会式の入場曲が「A10TION」でした！！大好きなキスマイがかかってくれて嬉しかったです10周年になってもこれからずっと応援し続けます！！,アーティストに関するコメント,36,59
43,金スマから来た者です。ジャニーズ詳しくないのですがキスマイスペシャルずっと見入ってしまいました🥲お恥ずかしながら初めて聴いた曲だったのですが凄く感動してすぐ検索しました！こんないい曲あったんだなと…そしてデビュー10周年おめでとうございます👏応援しています！,"アーティストに関するコメント,動画に関するコメント,アーティストに関するコメント","0,48,99","47,99,129"
44,元々アニメ界隈にいるオタクです。宮田くんにはとても感謝しています。最近キスマイさんの曲を聞き始めましたが、北山さんと千賀さんがとても綺麗な声でびっくりしました。宮玉3部作も面白かったです。これからもキスマイさんの曲と宮田くんのお話を楽しみにしています！,"動画に関するコメント,動画に関するコメント,アーティストに関するコメント,アーティストに関するコメント","33,80,94,0","79,91,126,32"
45,エビ中ファミリーです!トレンド貢献ありがとうございました!この恩は忘れません!そしてA10TIONいい曲☺️,動画に関するコメント,39,53
46,格差に耐え切れず離脱した元オタクだからこそ、圧倒的に上がった歌唱力とか格差の無くなった感じがグッとくるし、やっぱり好きだなぁと思う,アーティストに関するコメント,0,65
47,軽い気持ちで見ていたただ離婚してないだけですが、のめり込んで一気に全話見ました。北山さんの演技のうまさに惹かれまくりでした！,アーティストに関するコメント,0,61
48,UTAGEで歌う舞祭組と全然違うじゃない！！千賀君の歌唱にビックリして（千賀君のファンの方ごめんなさい。）毎日ここに観に来てしまうほどこの曲に嵌りました。いやぁもう、CD買っちまおうかなぁ～。,アーティストに関するコメント,0,96
49,ラブバイの”愛”とfearの”愛”のどちらの愛も表現できるキスマイやべぇな。,アーティストに関するコメント,0,33
50,エビ中ファミリーです🙇‍♀️今初めてA10TION聴いて、早速この新曲も聴きにきました🎧メンバーの表情にドキッとする場面が幾つもあって素敵でした...！,動画に関するコメント,11,73
51,キスマイ全然詳しくないけどこの主題歌好きすぎて録画毎回飛ばさずに聞いてる,動画に関するコメント,0,36
52,えび担です！いい歌すぎて買ってしまいました❤️北山さんカッコいい❤️ドラマも毎週見てます！最終回楽しみ😏,アーティストに関するコメント,6,32
53,5年前くらいに受験を理由に離れてしまったのですが、昨日の金スマ観て、出戻りを決意しました。学生の頃みたいに全てを追っかける余裕はないから自分のペースで応援していきます。やっぱり好きです。,アーティストに関するコメント,0,93
54,この曲、めちゃ好き。ドラマを思い出すけど、この曲に完全にハマってます😋ドラマは怖いけど、この曲は何か落ち着く😊,動画に関するコメント,0,55
55,AKB全盛期と張り合えたのは本当に凄いと思う。,アーティストに関するコメント,0,19
56,メジャーデビュー曲でメンバーの名前入れたのマジで頭いいと思う。,動画に関するコメント,0,31
57,事務所の力もなく、AKBがゴリゴリに幅きかせてる時代に、たった6人で真っ向勝負を挑んでたんだぜ…？いま思うと凄いよな。,アーティストに関するコメント,0,59
58,早見あかりが本当に綺麗…アイドルのイメージが定着する前に女優に転身したのは本当に正解だと思う,アーティストに関するコメント,0,46
59,こんなに昔からアイドルやってんのに、今でもドームとかを満員にしたり、チケットの争奪戦が起こるとか凄すぎだなぁー,アーティストに関するコメント,0,55
60,全ドルオタの中でこれ歌えない人いないんじゃないかレベルで有名だよねこれ、、私ももクロかじったことも無いし全員の名前言えないけどこれは踊れるし歌えるドルオタの校歌みたいすごいほんとに,"動画に関するコメント,アーティストに関するコメント,動画に関するコメント","0,37,66","30,61,83"
61,当時は気付かなかったけど今見ると全員めちゃくちゃ可愛くて顔面レベル高いやん…,アーティストに関するコメント,0,38
62,明るい曲なはずなのに、何故か寂しさも感じる最強の歌,動画に関するコメント,0,25
63,高校の音楽の教科書にAKBといっしょにこの子たちが載ってました！本当に平成を代表するアイドルなんだと思いました令和でもずっと輝き続けてください！,アーティストに関するコメント,0,72
64,"""私、韓国の中学生なのにTikTokのおすすめで聞いて""""やばっw歌いいじゃん""""て思ってここまで来てしまいましたww""",動画に関するコメント,0,60
65,こういうミニスカでフリフリな「アイドルこそ着れる衣装」のアイドルって最近少なくなってきてるからすごく心に刺さります🥺💕,動画に関するコメント,4,32
66,あんまりザ・アイドルみたいな曲が昔から好きじゃなかったのにこの曲はいつまででも聴いてられる！！可愛いし歌詞にも共感できるし歌めちゃ上手いし本当にすごいなと思いました！,"動画に関するコメント,動画に関するコメント","4,47","45,60"
67,可愛くてふりふりで可愛いだけじゃなくて力強くて一人一人が引き立っててアイドルの理想像って感じがする！！🥰,アーティストに関するコメント,0,52
68,ちゃんとTikTokでの流行を察知して、古いMVしかないって問題を解決して、とき宣の運営めっちゃ有能だと思う！！好き！！！！！！！,アーティストに関するコメント,0,65
69,コピー機の前でパンチしてるみなみ可愛い🤛,動画に関するコメント,0,20
70,ナナランドがOLになったり、ボクシングしたり、意外な組み合わせばかりでおもしろかったｗｗ,動画に関するコメント,0,44
71,れいなちゃん煽る表情上手すぎる。あとシンプルに良い曲,動画に関するコメント,0,26
72,すごい！めちゃくちゃ良い！みなみちゃんかっこいいね！,アーティストに関するコメント,4,26
73,月ちゃんの連打からのアッパーが最高でした！,動画に関するコメント,0,21
74,みなみなにしててもかわいいよ〜😭🥇🧡,アーティストに関するコメント,0,18
75,MV最高にかっこい〜観てるだけでパワーがみなぎってくる👊😉♫,動画に関するコメント,0,30
76,この曲、イントロ聴くとめっちゃ盛り上がるんだが。間違いなくライブで最高に上がるよね‼️こまきち、バリ可愛い😍,"動画に関するコメント,アーティストに関するコメント","0,42","42,53"
77,OL姿は可愛すぎる🙌🏻好き,動画に関するコメント,0,12
78,メンバーも曲も最高♪ナナランドさんの高い位置での安定感素晴らしいです！,動画に関するコメント,0,35
79,こまきの笑顔たくさん見れるから元気になれるMV〜！,動画に関するコメント,0,25
80,みんな笑顔がよくて元気が出るMVです,動画に関するコメント,0,16
81,メンバーそれぞれの個性、カラフルな世界観、なにより最高にかわいいので大好きです！,動画に関するコメント,0,40
82,みんな笑顔が素敵可愛い大好きありがとう😭月ちゃんとれいなの歌声好きだ〜,アーティストに関するコメント,0,35
83,可愛らしさがいっぱい詰まってて最高です‪⸜(*ˊᵕˋ* )⸝‬,動画に関するコメント,0,31
84,みんな可愛いし、歌もめっちゃ好き！結果 最高！！！！！,動画に関するコメント,0,17
85,神曲すぎるし歌詞良すぎるしMVみんな可愛すぎるしなんやこの曲！！！！！,動画に関するコメント,0,35
86,こまきちゃん可愛すぎて毎日見てます(*^^*),アーティストに関するコメント,0,17
87,MV衣装みんな似合ってて良き！,動画に関するコメント,0,15
88,アカリンが白・光・可愛いNMBを残していったのに対し、みるるんの黒・影・カッコイイNMBを最後に作っていったの、最後の1期生2人が見事に対称的で、けどそんな様々なメンバーたちを丸ごと魅力にできるのがNMBでこれからも、もっとずっと魅力的なアイドルであってほしいなと思いました,アーティストに関するコメント,0,137
89,ラピスの３人の中であーやんここながぐいぐい推されてたから、れーちゃんがこの曲でフロントになってくれた事がほんまに嬉しい😭,アーティストに関するコメント,0,60
90,NMB最後の1期生 美瑠の成長みてると泣けるあんなに妹だったのに、こんなに後輩携えてキレキレで踊ってて、、😭あんちゅの初選抜も嬉しいし、MVで美しさ爆発してるし、、😭NMB48は最高ってことか😭😭,アーティストに関するコメント,0,98
91,ずっと乃木坂オタなんですけどNMBめちゃめちゃ好きです。。😍,アーティストに関するコメント,0,30
92,最後の1期生。みるちゃん、NMBを沢山愛してくれてありがとう。,アーティストに関するコメント,7,30
93,NMBの攻め衣装というか、ギラギラなかっこいい、でもお上品な衣装を見るのが久しぶりな気がする…！美瑠ちゃんの雰囲気にも凄くあってて素敵すぎる！卒業悲しいけどNMBのこれからの活躍も期待してます！,"動画に関するコメント,アーティストに関するコメント","0,48","41,97"
94,彩度高めでレアな質感のMV。なんかとてもみるるんぽいPV。スミスさんが監督。前回のアカリンのシングルと同じで植物たくさんだけど、全く違う感じで素敵すぐる・・・！たくさん再生するぞー！！,動画に関するコメント,0,73
95,2:29  あたりからのダンスシーン、昼と夜で変わってるのに振りも立ち位置も全くズレてないの、NMBだから出来る技すぎませんか…？ナンバトルがあったから今までよりさらに綺麗になってる気がする😭最高😭,動画に関するコメント,6,99
96,“だってだってだって”で、ラピスの2人がセンターに選ばれてれーちゃん😢😢ってなってたけどこのシングルで良いポジション与えてもらって嬉しい😌💗💗みるるんの卒業寂しいけど良い曲で嬉しい🥲💕あんちゅの初選抜も嬉しいっっっ🥲💕嬉しいがたくさん詰まったMV最高です🙈💗NMB箱推しだから一人一人映る度に、この表情良い！ここ可愛い！素敵！大好き！ってなるから忙しい😇😇😇,アーティストに関するコメント,0,179
97,れーちゃんがたくさん映ってる🥲 可愛いも綺麗も全部あってこのMVで色んなれーちゃんが見れて嬉しいなぁ🥺,アーティストに関するコメント,0,51
98,このMV観れば観るほど、今のNMBにもうさや姉はいないけど、さや姉がここまで愛したNMBをこれからも応援しようって本気で思う。,アーティストに関するコメント,0,63
99,失礼だけど48グループってソロパートがほとんど無くて皆同じような声に聞こえてたけど彩ちゃんのソロパートって本当に個性的でかっこいい,動画に関するコメント,0,65
100,2:29 NMBではあんまり涙を見せなかった(多分見せられなかった)さや姉がゆいはんの前では珍しく号泣してたこのシーン。何年経っても大好き。,動画に関するコメント,4,59
101,全員めちゃくちゃ揃っててさすがNMBと思ってたらめちゃくちゃ泣けてきた,アーティストに関するコメント,0,35
102,ダンスが得意なメンバーが次々に卒業してしまったとはいえ、全体的なダンススキルが高すぎる。入ったばかりのメンバーもたくさんいる中で揃いすぎ…難波凄い…,"動画に関するコメント,アーティストに関するコメント","0,44","44,73"
103,さや姉がNMBのオーディション受けてくれてほんとに良かった。じゃなきゃこんな良いグループになってない。,アーティストに関するコメント,0,51
104,なんであかりんだけ白タイツ履いてるんだろって本気で思ってた。素の色だったわ。綺麗すぎやろ。,アーティストに関するコメント,0,45
105,7時間で振り入れたと聞いてNMBの強さを感じた,アーティストに関するコメント,0,23
106,さやねぇ、バッサリ髪を切った時期もあったけど、デビューと卒業はロングなのね個人的にすこです。,アーティストに関するコメント,0,46
107,ビヨの普通曲の期待を一身に背負ってるカゴメさん,アーティストに関するコメント,0,23
108,（　…事務所さん…、聞こえていますか…どんな手を使ってでも、ビヨの曲をNHKみんなのうたで流すのです…良質でヘンテコキャッチーな楽曲でちびっこを釘付けにし、アイドルだけどクリーンで親御さんも安心、運動会でも使われちゃった、みたいなポジションを目指すのです……   ）,アーティストに関するコメント,3,130
109,ビヨのMVのコメント欄いつも大人が泣いてる,それ以外のコメント,0,21
110,「頑張るときは一緒」シンプルな歌詞だけど不安に押しつぶされそうな私にジャストミートで聴くたびに涙出る。ビヨがいる世界で良かった。,"動画に関するコメント,アーティストに関するコメント","1,51","51,64"
111,女の子たちが健康で可愛い、結局はこれが最高なんよな,アーティストに関するコメント,0,25
112,もうBEYOOOOONDSが「野菜生活100」の宣伝をしているのか、「野菜生活100」がBEYOOOOONDSの宣伝をしているのか分からなってきたけど、両方とも好きだから問題ないわ。,アーティストに関するコメント,0,91
113,通常のハロプロなら間違いなく野菜の着ぐるみ、カゴメさんありがとうございます……,アーティストに関するコメント,0,39
114,ハロプロだけでなくアイドル全体でこういう明るめの曲が減ってきている中でビヨーンズはほんと貴重なグループだよあぁ可愛い,動画に関するコメント,0,58
115,こういうヘルシーメイク、高瀬くるみが大優勝してて大好きが止まらんみんな可愛い…ありがとうKAGOMEさん…野菜生活飲みます！！！！,アーティストに関するコメント,4,33
116,今回の曲がアイリッシュ調なのって、アイリッシュダンスがもともとのルーツ的に腰に負担がかかりにくい動き→ももひめのため…？って勝手に想像して泣きそうになってるビヨはやっぱりこの12人全員の全開笑顔が最高なんだもん,"動画に関するコメント,アーティストに関するコメント","0,17","12,104"
117,2:12 「辛辣な女だもん」の岡村美波さん、まっっっっっっっっっっっじで大好き,動画に関するコメント,5,39
118,いっちゃんが辛いの紙を破るシーン一枚しか用意してなかったから一発勝負で、緊張の中結構な勢いで出て来て江口ちゃんが笑いそうになったけど我慢した、、と裏話聞いて確認しに来たら夢羽とみいみがもろ笑ってて草,アーティストに関するコメント,0,99
119,ビヨの凄いとこはこれだけ人数いても多いと感じない所。誰もやめてほしくないしずっとこのメンバーでいってほしい。最高のバランス。,アーティストに関するコメント,0,62
120,ローソンで流れててハロプロっぽいという印象と「底なし沼に」というフレーズだけでここまでたどり着いた僕をだれか褒めて？？,動画に関するコメント,0,58
121,一番では「嘘も言わない」って言ってるのに二番では「嘘言っちゃった」のかわいい。「あなたは私の虜になる」が「私はあなたの虜になる」もそうだし、全体的に余裕がなくなってるのがかわいい歌詞だな〜,動画に関するコメント,0,94
122,首なんか動かしてなかったであろう、ピアノ一筋のお嬢様だったほのぴが、アイソレーションを難なくこなしているのにすごく感動する。なんでも一生懸命な人だ…,アーティストに関するコメント,0,74
123,今回の桃姫talk boxフィーチャーといい、ほのぴのピアノといい、ビヨーンズの製作スタッフには「特定メンバーを推すより、全員をよく見せよう」って言う気持ちがあってほんと素晴らしい。逆にファンは推しがなかなか決まらないって面もあるけどw,動画に関するコメント,0,90
124,TSUTAYAの有線でめっちゃ気になって…「虜になる」で検索しても出てこなくて「アイドル 新曲」で出てきためっちゃ頑張った…,"動画に関するコメント,動画に関するコメント","0,22","21,62"
125,職場の有線で流れてて何の曲かわかんなくて知恵袋で聞いてみたりSiriちゃんに鼻歌聞かせたり｢サビ:でも〜でも〜」とか「わたしの虜になる｣で調べたけど出なくて1ヶ月経った今やっと見つけた,動画に関するコメント,0,92
126,カラオケに本人映像を出してくれてありがとうございます！！！！！！！！！！友達の前でこれ歌ったら最初は「変な曲www」と言ってたのに帰る頃には自発的に口ずさんでました,動画に関するコメント,1,82
127,なんとも言えぬ凄さ、迫力、パワーを感じて、オリジナルを聴くだけでこんなに魂が震えるのにライブで生で聴いたら泣き崩れてしまうんではないかと思うくらいの名曲です。。。🥲,動画に関するコメント,0,78
128,歌詞ですさよなら　また　笑顔で会える日まで言葉は　いま　空と舞い散る風あの日の　夢　まだここにあるから忘れない　でも　もう歩き出さなきゃ透明な世界には　曖昧な答えだけ溢れ出す涙には　それぞれの理由がある今日もまた変わっていく　見慣れた景色から消えていく泡のように　優しさを残したまま遠くで　ほら　僕らを呼んでいる未来は　きっと　この先にあるよな透明な世界でも　小さな希望探す照らし出す道標　それぞれの足元に日々迷い揺れながら　寄り添い合って歩いたもう一度　約束を　優しさで結んでいく響き合い重ねた想い　僕らは「またね」って叫んだ変わり続けていく世界に　恐れないで　繋いで　信じて透明な世界には　曖昧な答えだけ溢れ出す涙には　それぞれの理由があるから今日もまた変わっていく　見慣れた景色から消えていく泡のように　優しさを残したまま透明な世界でも　照らし出す道標,それ以外のコメント,0,379
129,今までリトグリ自体聴かなかったけど、『半妖の夜叉姫』見てたからエンディングがリトグリとわかって今じゃ、何回もリピートして聴いてる。キレイなハーモニーがいい♪( ´θ｀),動画に関するコメント,1,84
130,５人で「透明な世界」すごく素敵です透き通った声のmayuさんメインだったら…また違う「透明な世界」なんだろうな………聴いてみたい…,動画に関するコメント,0,64
131,「歩き出さなきゃ」のところのまなかちゃんの声がめっちゃ好きです！毎回、サビがくる一歩前で興奮しちゃいます😁,"動画に関するコメント,動画に関するコメント","1,32","31,52"
132,まゆちゃんのハモリももちろん大好きだけどメロディライン歌うまゆちゃんほんとに素敵！かっこいい！︎︎☺︎︎︎☺︎︎︎☺︎,動画に関するコメント,0,47
133,"""かれんの、""""未来はきっと""""の""""きっと""""のぎゅっとした歌い方がほんとに好き、、今年に色々あってからみんなの感情表現を歌にのせるのが上手くなってて、リトグリは常に成長してるんだなって改めて感じる。""",動画に関するコメント,7,100
134,本当に難しい曲だと思います。難なく唄うリトグリ凄い‼️ライブの生唄最高でした。他の曲もそうですが、聞けば聞くほど心に響く歌声と曲ですね！本物のアーティスト❗,アーティストに関するコメント,0,77
135,先日亡くなった父がデビュー直後に見つけ出してきたリトグリ。父は最期の最期までリトグリが大好きで、私の複雑な思春期も、父の苦しい闘病期間も、約7年いつでも父との共通の話題でした。ありがとう。これからも応援します。,アーティストに関するコメント,0,104
136,歌でカバーしきれないと言うけど、MAYUが歌うVIVAの落ちサビ、最高だと思います。魂で歌ってる感じがする。,動画に関するコメント,0,53
137,ライブの最初　一人ひとりステージに出てくるシーンで毎回泣けてくる😢私だけかな?,動画に関するコメント,0,32
138,20:26 あんまり見ないMAYUの涙だからこそ、泣けてしまうなぁ周りをよく見て考えて考えて、チームのために頑張る、そんなMAYUが私は大好きなんだーー,"動画に関するコメント,アーティストに関するコメント","6,25","19,76"
139,20:46 泣かないでまゆちゃん…そんなことないよって言われたいわけじゃないって言ってるけど、絶対そんなことない…まゆちゃんだって尋常じゃないくらい頑張ってる…,動画に関するコメント,6,80
140,MAYUの歌声ちゃんと届いてるよ🕊いつも素敵な歌声をありがとう💚,アーティストに関するコメント,0,31
141,まなかの声めちゃくちゃ調子いいね！！！！デビュー時みたいな力強さが戻ってきたところに、歳を重ねての表現力がついてきてていい感じ！！！,動画に関するコメント,0,66
142,20:47 MAYU、絶対にそんなことないです！でも、そう思ってしまう責任感の強さ、メンバー想いなところがMAYU推しにはたまらないところなんだけどね😭,動画に関するコメント,0,76
143,ライブ行けなかった身として、元気な芹奈見れて本当に嬉しい❤芹奈、帰ってきてくれてありがとう😭そして4人はリトグリを守っていてくれて本当にありがとう😭リトグリに出会えて本当に良かった。,アーティストに関するコメント,0,90
144,知ってる人は知ってると思うけど、Lilのダンス・歌唱力の上昇がえげつない数年前はほんとにこのグループ大丈夫かな、って思ってたけど、ここまで上手になるって、並大抵の努力じゃないと思うし、ほんとにすごいグループだと思う,アーティストに関するコメント,0,107
145,少クラで初めてこの曲聴いて、りるみらくるからの振り幅凄すぎて気になり始め、YouTubeの寝起きドッキリで完全に沼りました。全力で推します。,アーティストに関するコメント,0,70
146,ジャニーさんが亡くなる前にグループ組めて良かったよね。ジャニーさんが亡くなった後だったら逸材が埋もれるところだった。,アーティストに関するコメント,0,57
147,嶋﨑斗亜さんの表現者たるや……しなやかで指先までしっかり神経尖らせて綺麗に魅せる踊りをしてて、世界観入りすぎてたまに目が逝っちゃうのも可愛い、出だしも紙吹雪も相まって素敵な世界観がスタートしてるの嶋﨑斗亜しか出来ない領域……,動画に関するコメント,0,112
148,風雅がこんなに踊れるとは…ちょっと前まで緩いと言うか、悪く言うと手を抜いてる様に見えるダンスで、まだ恥ずかしいが勝ってるのかなって思ってたけど、「忘れてかけた勇気も」のトコ最高だった！,動画に関するコメント,0,88
149,え、あれ？あれ？これ、りとかんですか、、？あの、仲良しふわふわ癒しな可愛い男の子集団りとかんですか、、、！？こんなにバキバキ踊れてお洒落な曲を歌いこなすなんて、、、沼じゃん、、,"アーティストに関するコメント,動画に関するコメント","0,54","54,81"
150,2:29入所した当時ダンス経験が一切なくて、人見知りで誰にも｢助けて｣って言えなくてグループ内でもダンスでピックアップされないしセンターに立つことが圧倒的に少ないこたちゃんが間奏のがっつり踊るパートでたった数秒だけどセンターに立っていることに感動して泣き崩れた確実に努力の成果出てるよ、かっこいいよ(泣),アーティストに関するコメント,4,152
151,るうくくんがラップを始めてから、りとるに歌ってほしい曲の幅が広がりました！！頼もしい最年少....！,アーティストに関するコメント,0,50
152,最近リトかんが気になっている者ですが、彪太郎くんの声が好きすぎる！透き通っててちょっと切ない感じがかっこいいです！！もっと聞きたい！,アーティストに関するコメント,0,66
153,定点(DANCE SHOT)待ってます。定点(DANCE SHOT)待ってます。定点(DANCE SHOT)待ってます。※大切な事なので三回言いました。,動画に関するコメント,0,75
154,スタッフさんがだれに寝起きドッキリやらせよう…って考えた結果、えらばれたのが最年少ってとこが1番おもろい,動画に関するコメント,0,52
155,こたちゃんが頑張ってガチギレしても全然怖くないのは、普段から優しい証拠なんだろうな〜笑笑そして最後まで気づいてないニシタク可愛すぎる笑笑,"動画に関するコメント,アーティストに関するコメント","0,26","23,68"
