	comment
94	"[FAQ]　よくある質問　　※2021/10/29 <Who imitated it?> Added
Q1: There were 5 people, right? A1: The current ""MOMOIRO CLOVER Z"" is a group of 4 people. They have been members since the early days.
Q2: Is this Music Video a remake? A2: No, it's not a remake. ""Nippon Egao Hyakkei"" was originally a song without a music video. This MV is the first official music video. If you've seen it before, it's an upload of footage made from a TV show or live Blu-ray.
Q3: Where are the green members? A3: She left the group in January 2018. She has also moved away from the old agency.
Q4: What is Green member doing now? A4: She signed a contract with a new agency in January 2019, where she became a solo singer and resumed her career. She got married in November of the same year. (At that time, there was an unwritten rule in the Japanese entertainment industry that if you change agencies for personal reasons, you would wait two years without belonging anywhere. In this case, her return to the entertainment world was allowed in a year.)
Q5: Is ""jugem"" a quote from ""Fullmetal Alchemist""? A5: No. This is a quote from the rakugo story ""Jugem"". For details, please read <Who imitated it?>.

<History of ""Nippon Egao Hyakkei"">　「ニッポン笑顔百景」 の歴史
July 2012: ""momoclo"" sang the ending song ""Nippon Egao Hyakkei"" of ""Joshiraku"".
September 2012: ""momoclo"" releases ""Nippon Egao Hyakkei"" on CD. No official MUSIC VIDEO was produced.
January 2018: One member has left. The number of members is now four.
After January 2018: Work to reconstruct more than 100 songs with ""for 4 people"" (-ZZ ver.-) will begin, giving top priority to popular songs in live performances.
May 2018: ""Nippon Egao Hyakkei -ZZ ver.-"" was sung as part of the medley song at Tokyo Dome.
August 2018: ""Nippon Egao Hyakkei -ZZ ver.-"" completed at ""momoclo mania 2018"" was sung.
Early 2021: Starting with tik-tok, the popularity of ""Nippon Egao Hyakkei"" has skyrocketed in the world. No. 1 on the J-POP charts of 19 countries.
May 2021: Released a self-cover album ""ZZ's II"" including ""Nippon Egao Hyakkei -ZZ ver.-"".
June 2021: Released the music video for ""Nippon Egao Hyakkei -ZZ ver.-"".

<MOMOKUROTEI ICHIMON> 　桃黒亭一門
Some people see this music video and mistakenly think they are playing the character ""Joshiraku"", but that's a mistake.
They are cosplaying as ""MOMOKUROTEI ICHIMON"".
""MOMOKUROTEI"" is a family name.
""ICHIMON"" refers to the whole family.
When singing the ending song of ""Joshiraku"" in 2012, a gimmick was prepared in which ""High school girl rakugoka"" sang the ending song. This MV reproduces the gimmick of that time.
The names of each character at that time are as follows.
Red: MomocloTei Dekoppachi: Kanako Momota
Yellow: MomocloTei Pekorinosuke: Shiori Tamai
Pink: MomocloTei Punimaru: Ayaka Sasaki
Purple: MomocloTei Namennna: Reni Takagi
Green: MomocloTei Chibita: She left the family.
They are not currently using gimmicks. In this MV, it appears as ""MOMOIRO CLOVER Z"".

<Rakugo>　落語
It is one of the traditional Japanese narrative arts that was established in Japan during the Edo period and has been handed down to this day. The frequency of laughter is high. ""Joshiraku"" is a story of high school girls doing ""Rakugo"" in club activities.

<jugem>　寿限無
Classic rakugo known for long memorization and tongue twister. A laughing story that arises from giving a ridiculously long name that sticks to ""length"" so that the born child can live a long and healthy life forever. A funny story that says, ""Every time two people have a conversation, they repeat a long name, so the content of the conversation is almost just the name."" The conversation between ""Scar"" and ""King Bradley"" in ""Hagaren 4koma Gekijou"" and the story told on the stage by ""Shiori"" are variations with different stage settings.

<Who imitated it? >　誰が真似したの？
""Jugem"" at the beginning of the ending song ""Nippon Egao Hyakkei"" of ""Joshiraku""
""Jugem"" episode between ""Scar"" and ""King Bradley"" of ""Hagaren 4koma Gekijou -> Hagane De Renkinjutushi"" recorded on the DVD of ""Fullmetal Alchemist""
It seems that some overseas anime fans think that they quoted ""Jugem"" from the episode of ""Fullmetal Alchemist"".

In conclusion, both are citations.
The source of the quote is ""Jugem"", one of the classic Japanese rakugo stories.
This work is a very famous story that anyone who likes rakugo knows.
It's a story that makes you laugh at the part that ""it doesn't become a conversation because it repeats a long name every time it talks.""
It is also often used for children's memorization play.

""Momoclo"" member ""Shiori Tamai"" showed ""Jugem"" to the audience on a TV program in 2009.
At that time, this was the only connection between ""Momoclo"" and ""Rakugo"". ""Kenich Maeyamada"" who composed the ending song of ""Joshiraku"" knew this episode of Shiori, so he completed the song using ""Jugemu"" at the beginning of ""Nippon Egao Hyakkei"".

""Jugem"" quoted in ""Hagaren 4koma Gekijou"". It was probably adopted because the scriptwriter was just right to incorporate it into the short story in detail in ""Rakugo"". The rakugo story ""Jugem"" is played by himself, but in this animation, the setting has been changed to the conversational format of ""Scar"" and ""King Bradley"". The content is similar to the original ""Jugem"".

The story of ""Jugem"" by ""Shiori Tamai"" (2009)
https://www.youtube.com/watch?v=3x_yc_ivEMQ
Conversation of ""Jugem"" by ""Scar"" and ""King Bradrey"" recorded in ""Hagaren 4koma Gekijou""
https://www.youtube.com/watch?v=To9FI_nZa6U
The story of ""Jugem"" by a professional rakugo storyteller
https://www.youtube.com/watch?v=B5OBtvme6FU


<Group Data>
Official name: MOMOIRO CLOVER Z (zetto) 
Famous abbreviation: momoclo
RED：Kanako Momota(Group leader)
YELLOW：Shiori Tamai
PINK：Ayaka Sasaki
PURPLE：Reni Takagi
Currently it is composed of 4 people.
They also belonged to ""momoclo"" when they released ""Nippon Egao Hyakei"" in 2012.

<ZZ ver.>　(Double Zeta Version)
The version name given to a song that was previously released as a ""song for 6"" or ""song for 5"" and reconstructed as a ""song for 4"". At the suggestion of the members, a complete review was carried out, and the reconstruction including the singing part, lyrics, arrangement, and choreography was carried out. There are songs that haven't been reconstructed even now, and fans are looking forward to the day when they will be sung live. The origin of ""Double Zeta"" is ""ZZ Gundam"". Mr. Kawakami, the general director of ""momoclo"", loves Gundam. ""Z"" is not from ""Z Gundam"" because it is handed down from ""Ichiro Mizuki"" who sings the theme song of ""Mazinger Z"".

<Interview with Shiori Tamai January 2018>
If you continue to do what you were doing with 5 people without changing anything with 4 people, it may look inferior to before. If so, there may be various opinions, but it was concluded that it would be better for the four of us in the future to take the plunge and rebuild everything.　Quoted from ""momoclo dome roku""

<TDF>
Abbreviation for ""Team Diamond Four"" or ""The Diamond Four"".
Nickname and subname representing the current ""Momoiri Clover Z"" from 2018/01.
""Team Diamond Four"" includes staff and fans in addition to the four members. When used for goods, it is written as ""T: DF"" with a smiling emoticon included.

<Kurogo>　黒衣
The black costume that appears in the MV. They are not ninjas. The original job is to help acting on the stage of ""Kabuki"". The original job is to quickly change the costumes of the actors, move small items, and change sets.

There are so many people asking the same question, so I've summarized the content that is especially repeated."
95	"This song is a few years old but i guess the hype recently on tiktok brought us this masterpiece of a music video lol, now i need one for wani to shampoo"
96	I just have to listen to this everyday
97	"ももクロは同世代で、昔から見てきたけどいつも元気いっぱいでどんどん綺麗になって。
辛い時とか大変な時、ももクロに元気をもらって1週間頑張ってます。

アイドルの存在意義って、誰かを元気にしたり感動させたりってことなのかなと彼女たちを見てると思います。

ライブで声が出せるようになったらまた盛り上がりたいなぁ…"
98	"ももクロありがとう！！
仕事での辛い気持ちが吹き飛びました♪"
99	Everyday I'm here to listen this masterpiece.
100	https://cho-toki-sen.lnk.to/sukisukisukisukisukisuki
101	このパフォはアンコール前ラスト、13曲目であることをここに記しておきたい…汗だくだし疲れてるだろうに、ずーっと笑顔で全力でかわいいとき宣ちゃんたちが大好き??????
102	????? ??? ? ??? ? ????? !! ?? ?? ???? :?; ??? ??? ?? ?? ?? ?????? ????
103	"全然存じ上げないんだけれど、、、
緑色の子、お声可愛くてめっちゃ歌上手いなぁ、、可愛い、、、"
104	"?? ?? ?? ? ???????
?????? ?? ?? ??? ??? ?????..."
105	とき宣って1人ずつ歌うから、歌のリレーしてる感あってエモい???
106	とき宣の6人は、歌詞の意味をしっかりと自分で噛み砕いて、更に私たちに届けようとしてくれるから、声に想いが込められていて、素敵な表情も相まって、観てる私まで涙が…本当に最高なアイドルに出会えて幸せだあ…！！！！！！
107	最近とき宣にハマってるんですけども、こんな踊りながらでもめちゃくちゃ生歌素晴らしいし、本当にみんな全力なのが伝わってきて良いし、可愛いが詰まってるとき宣が大好きです…
108	"全員が本気で、全力で、手を抜かない。
とき宣は見ていて気持ちがいい。本当に好き！"
109	"偶然刷到就被吸引住了，大家都好可?，唱功也很?害，感???有元气的表演！
今までジャニーヲタですが初めて女子ドルにハマった。みんなかわいいし歌上手いし、画面越してもめっちゃ元気貰えました本当にありがとうございます??"
110	歌詞考えた方神だし、とてつもない名曲。とき宣知らない方もこれ聴いたら、虜になっちゃうと思う。
111	すきっ！を見たらみんな可愛いし歌も上手くて、軽い気持ちでこれを見ました。これ、好きすぎます。アイドルらしさもあるけど、どこか懐かしさも感じるメロディー。そして、切ない…。女の子らしいTHEアイドルな見た目からは想像つかないくらいの表現力の高さ、歌唱の力強さにもびっくりしました。とき宣ハマりそうです！
112	?? ???~ ??? ??? ?? ??? ?? ???~
113	学生が作った曲と聞いて気になってきたのですが、みんな歌唱力えぐくないですか…音域の幅が広いのに歌いあげちゃうのすごい…
114	"超とき宣は絶対に大きなグループになる。
ずっとずっと応援してます！"
115	ジュリあき、かなみん、ステージを重ねるたびにアップグレードしてる。あきちゃんが分かりやすく上達しているけど、ジュリアがさらにスゴいことになってる。負けずにぴよ、はる、ひとちゃんもエモさ増し増し。昨年改名してからみんなの進化の早さに目を見張ります。それがまた泣けるのよ(T_T)
116	"ほんと神曲だ…
特におはるとジュリアの感情のこもった切ない歌声が心に響き渡る…?????"
117	?? ? ? ??… ???? ? ???????
118	"名曲すぎて何回も観てしまう

杏すわぁんの歌声たまらん"
119	"個人的にアイドル界トップレベルの神曲だと思います??
メンバーも衣装も髪型も何から何までかわいいで溢れていて最強！！！"
120	コピー機の前でパンチしてるみなみ可愛い??
121	ナナランドがOLになったり、ボクシングしたり、意外な組み合わせばかりでおもしろかったｗｗ
122	月ちゃんの連打からのアッパーが最高でした！
123	れいなちゃん煽る表情上手すぎる。あとシンプルに良い曲
124	"すごい！めちゃくちゃ良い！
みなみちゃんかっこいいね！"
125	みなみなにしててもかわいいよ???????
126	"Great energy and fun MV, well done!"
127	MV最高にかっこい?観てるだけでパワーがみなぎってくる?????
128	はるぴの強気な表情大好き????
129	OL姿は可愛すぎる????好き
130	"メンバーも曲も最高♪
ナナランドさんの高い位置での安定感素晴らしいです！"
131	みんな笑顔がよくて元気が出るMVです
132	みんな笑顔が素敵可愛い大好きありがとう??月ちゃんとれいなの歌声好きだ?
133	こまきの笑顔たくさん見れるから元気になれるMV?！
134	メンバーそれぞれの個性、カラフルな世界観、なにより最高にかわいいので大好きです！
135	ほんとにほんとに良い曲だなー！
136	可愛らしさがいっぱい詰まってて最高です??(*???* )??
137	"みんな可愛いし、歌もめっちゃ好き！
結果 最高！！！！！"
138	こまきちゃん可愛すぎて毎日見てます(*^^*)
139	MV衣装みんな似合ってて良き！
140	"11周年おめでとう
11周年ライブも頑張ってね。
めちゃめちゃ応援してるからね??"
141	"11周年ほんとにおめでとう????
これからも応援してます??
凪ちゃん可愛すぎます????"
142	11周年ライブ昼夜どちらも楽しみ過ぎる！！気合入れて取り組んでいるメンバー、準備してくれているスタッフさんに感謝です。めっちゃ楽しみたいと思います！！
143	"ライブ楽しみすぎる、
「後悔させません！」って感動したよ??これでNMBファンじゃないような人も来てくれたらいいな?"
144	"当日昼夜参戦するのでこういう動画めちゃくちゃ待ってました?！
初夏も次世代も行けたしこの1年のNMB充実度がすごい…??"
145	"メンバーのの魅力伝わるコンサートになると良いですね！NMB48の冠番組も出来て欲しいなぁ??
??こんなんどうでっしゃろ??が可愛いかった～"
146	NMB48知れば知っただけ、全メンバーいろんな個性があって、みんなを応援したくなるような最高のグループなんで、色んな人に知ってもらいたいなぁ??
147	"毎年その時のNMB48が感じられる周年ライブが大好きです?
スクラップ&ビルドで新しいNMBが見られるのも。いろんなメンバーのセンター曲でみんなの魅力を改めて知るのも楽しみです！"
148	凪ちゃん即興曲天才すぎる??
149	"ライブではバラエティでは見れないなぎちゃんの表情やパフォーマンスが見れて楽しみ???

なぎちゃん、昼夜行くね！！
新調したうちわも持っていく??"
150	"アカリンが白・光・可愛いNMBを残していったのに対し、
みるるんの黒・影・カッコイイNMBを最後に作っていったの、
最後の1期生2人が見事に対称的で、けどそんな様々なメンバーたちを丸ごと魅力にできるのがNMBで
これからも、もっとずっと魅力的なアイドルであってほしいなと思いました"
151	"最後の1期生。
みるちゃん、NMBを沢山愛してくれてありがとう。"
152	ラピスの３人の中であーやんここながぐいぐい推されてたから、れーちゃんがこの曲でフロントになってくれた事がほんまに嬉しい??
153	ずっと乃木坂オタなんですけどNMBめちゃめちゃ好きです。。??
154	"彩度高めでレアな質感のMV。なんかとてもみるるんぽいPV。
スミスさんが監督。前回のアカリンのシングルと同じで植物たくさんだけど、全く違う感じで素敵すぐる・・・！
たくさん再生するぞー！！"
155	NMBの攻め衣装というか、ギラギラなかっこいい、でもお上品な衣装を見るのが久しぶりな気がする…！美瑠ちゃんの雰囲気にも凄くあってて素敵すぎる！卒業悲しいけどNMBのこれからの活躍も期待してます！
156	"NMB最後の1期生 美瑠の成長みてると泣ける
あんなに妹だったのに、こんなに後輩携えてキレキレで踊ってて、、??
あんちゅの初選抜も嬉しいし、MVで美しさ爆発してるし、、??
NMB48は最高ってことか????"
157	"渋谷さんの本業？をはじめてちゃんと目にした。普通に選抜入っててすごい！
バラエティーでは感じなかったが歌って踊ってるとかわいく見える..."
